features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_MCC,train_LS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_MCC,test_LS,test_ROC_AUC
ANOVA,DT,"{'criterion': 'entropy', 'splitter': 'best'}",DecisionTreeClassifier(criterion='entropy'),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7327,0.4616,0.4581,0.4586,0.4586,0.2638,1.7291,0.5984
ANOVA,AdaBoost,"{'algorithm': 'SAMME', 'n_estimators': 150}","AdaBoostClassifier(algorithm='SAMME', n_estimators=150)",0.724,0.4448,0.4859,0.4572,0.4572,0.2524,1.5621,0.7226,0.7042,0.4208,0.4419,0.4165,0.4165,0.2075,1.3945,0.691
ANOVA,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 30, 'max_iter': 1800, 'solver': 'adam'}","MLPClassifier(alpha=0.1, hidden_layer_sizes=30, max_iter=1800)",0.7948,0.5762,0.5966,0.5788,0.5788,0.4307,2.4299,0.8511,0.7521,0.5108,0.5129,0.4949,0.4949,0.3195,2.0896,0.799
MI,RF,{'n_estimators': 60},RandomForestClassifier(n_estimators=60),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.8222,0.6356,0.6355,0.6248,0.6248,0.5022,2.7496,0.8632
MI,SVM,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}","SVC(C=10, gamma=0.1, probability=True)",0.8544,0.7038,0.7033,0.6949,0.6949,0.5941,3.2498,0.9196,0.8011,0.6115,0.6,0.5874,0.5874,0.4551,2.6138,0.8608
MI,LR,"{'C': 0.1, 'max_iter': 200}","LogisticRegression(C=0.1, max_iter=200)",0.7165,0.4363,0.4721,0.4514,0.4514,0.24,1.7195,0.7882,0.6759,0.354,0.3968,0.3725,0.3725,0.1319,1.2644,0.7669
MI,KNN,{'n_neighbors': 18},KNeighborsClassifier(n_neighbors=18),0.817,0.6346,0.6346,0.6273,0.6273,0.4983,2.7854,0.8867,0.7607,0.56,0.5355,0.5322,0.5322,0.3647,2.5457,0.804
MI,DT,"{'criterion': 'log_loss', 'splitter': 'best'}",DecisionTreeClassifier(criterion='log_loss'),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7888,0.5824,0.5774,0.5786,0.5786,0.4248,2.5271,0.6864
MI,AdaBoost,"{'algorithm': 'SAMME', 'n_estimators': 160}","AdaBoostClassifier(algorithm='SAMME', n_estimators=160)",0.7517,0.5351,0.5287,0.5024,0.5024,0.3299,2.5544,0.7753,0.722,0.5243,0.4839,0.4549,0.4549,0.2631,2.3838,0.7387
MI,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 900, 'solver': 'lbfgs'}","MLPClassifier(alpha=0.1, hidden_layer_sizes=10, max_iter=900, solver='lbfgs')",0.8474,0.678,0.6815,0.6725,0.6725,0.5658,2.978,0.9172,0.8037,0.6045,0.6032,0.5904,0.5904,0.4537,2.6954,0.88
