features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
MISelector,RF,"{'criterion': 'entropy', 'n_estimators': 100}","RandomForestClassifier(criterion='entropy', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7891259105098856,0.5656175516251195,0.5741935483870968,0.5659011140529651,0.5698989471933111,0.8520181542508384,0.8357759016064648,0.6699610050732623,0.8201939652109242,0.8507
MISelector,SVM,"{'C': 10.0, 'kernel': 'poly'}","SVC(C=10.0, kernel='poly', probability=True, random_state=20)",0.857844460317782,0.7175202287178086,0.7057396928051738,0.7048125116341584,0.7039557653283761,0.8971569113645518,0.8963991089213953,0.7733007962853611,0.8850010668350138,0.9215,0.8097086368366285,0.6003164616089847,0.5967741935483871,0.5914630472363274,0.5930912250319975,0.8648791241588746,0.8585269768381779,0.7052025985630705,0.8232648501982729,0.856
MISelector,LR,"{'C': 100, 'max_iter': 800}","LogisticRegression(C=100, max_iter=800, random_state=20)",0.7141694806259963,0.44857882957141615,0.4688763136620857,0.4530725360542703,0.46156724963899176,0.7924673270454735,0.7754028748100684,0.5725193417160228,0.7692691578215323,0.7887,0.694360041623309,0.3977435267787375,0.4161290322580645,0.4005728345378304,0.40906447414376806,0.780794295217139,0.756625147362365,0.5364321843593154,0.7319100062731372,0.7711
MISelector,KNN,"{'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=13, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756576482830385,0.5417031268211967,0.5193548387096775,0.5200187939449795,0.5172700127522492,0.8247631636952573,0.818904825678571,0.6128556224637398,0.8011072576408492,0.8252
MISelector,DT,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(max_features='auto', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7689177939646201,0.5209940284126696,0.5129032258064516,0.5163732606310758,0.5141547427114734,0.8311356843781856,0.8354991871562408,0.6442163065444106,0.7751685759480458,0.6342
MISelector,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 170}","AdaBoostClassifier(learning_rate=0.1, n_estimators=170, random_state=20)",0.7142420216329046,0.5200133191433659,0.48181083265966046,0.4576336222889694,0.4626935169905392,0.7992787827270417,0.7718511946364205,0.5248910703934144,0.8237325730634653,0.7132,0.7214464099895942,0.48260913759383617,0.4612903225806452,0.43876987366952175,0.44477614555705514,0.806442706854407,0.780417948651502,0.5285873290974636,0.7830103996388585,0.6704
MISelector,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1100, 'solver': 'lbfgs'}","MLPClassifier(alpha=0.1, hidden_layer_sizes=14, max_iter=1100, random_state=20,
              solver='lbfgs')",0.8495107403169193,0.6824981728548117,0.6887631366208569,0.6785978286805094,0.6832678947556002,0.8963787767303828,0.8821946503188088,0.7644059768298671,0.8761298332284242,0.914,0.7988969823100937,0.5810079808150217,0.5935483870967742,0.5735327496875884,0.5838213116617671,0.8645426616000812,0.8349678403852896,0.6774667530266921,0.8309206688738151,0.8604
