features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
SVM-FS,RF,"{'criterion': 'entropy', 'n_estimators': 140}","RandomForestClassifier(criterion='entropy', n_estimators=140, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78315296566077,0.5551461113984127,0.5612903225806452,0.5565773120484496,0.5590246316619581,0.844667988981753,0.835635144362873,0.6649018625362292,0.8126472482332576,0.8392
SVM-FS,SVM,"{'C': 20.0, 'kernel': 'rbf'}","SVC(C=20.0, probability=True, random_state=20)",0.8568707116664891,0.7067343919812048,0.7057396928051738,0.7042907581924017,0.704758360357866,0.8980389713205824,0.89306632316499,0.7711015529354401,0.8863572108092056,0.919,0.8151196670135276,0.6196935392766332,0.6161290322580645,0.6154511689531977,0.615327383261588,0.8678038710372836,0.8636816952545014,0.709408408069519,0.8398465800161345,0.8629
SVM-FS,LR,"{'C': 5.0, 'max_iter': 700}","LogisticRegression(C=5.0, max_iter=700, random_state=20)",0.6929600586601872,0.4111859803564699,0.4357316087308003,0.4178357039723716,0.427755253903505,0.7772210961416268,0.7545435675559602,0.5428633903598182,0.7506881964265081,0.773,0.6662122788761706,0.3802901903992644,0.38064516129032255,0.36941884221578913,0.3748849314603992,0.7569439805431776,0.7326225447644041,0.4936409805358386,0.7231330453049097,0.7538
SVM-FS,KNN,"{'n_neighbors': 17, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=17, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7548178980228929,0.5456300612021273,0.532258064516129,0.5310224250141483,0.5298537097231588,0.8238867049672478,0.8112022258388347,0.6107075477946082,0.8174811303394104,0.8286
SVM-FS,DT,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(criterion='entropy', max_features='auto',
                       random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7311342351716961,0.4570132885313368,0.4645161290322581,0.46046689394288376,0.46282721228456636,0.8063891297833131,0.7992124276484145,0.5975329796604604,0.7520539334532522,0.6087
SVM-FS,AdaBoost,"{'learning_rate': 0.5, 'n_estimators': 100}","AdaBoostClassifier(learning_rate=0.5, n_estimators=100, random_state=20)",0.7308290783567044,0.506968348491903,0.502021018593371,0.49674660178980173,0.4981163968657598,0.8016841369869805,0.7959936489774855,0.5937112950768134,0.7985626838444038,0.6989,0.6975962539021852,0.41441334123290424,0.41935483870967744,0.39939520647016297,0.407181393784511,0.7808528910758512,0.7671943095764737,0.5227291939014967,0.7391816308557894,0.6297
SVM-FS,MLP,"{'activation': 'tanh', 'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1300, 'solver': 'lbfgs'}","MLPClassifier(activation='tanh', alpha=0.1, hidden_layer_sizes=14,
              max_iter=1300, random_state=20, solver='lbfgs')",0.8699849493748728,0.7296880615945651,0.7316087308003234,0.7266009048499017,0.7289164496742873,0.9103200768170653,0.8997105796997151,0.7904086085129225,0.8979454993989354,0.9343,0.7866701352757545,0.5685531449233989,0.5709677419354838,0.5692849277664408,0.570181746519132,0.8454183372981805,0.8430547567045669,0.6717094829010186,0.8188595102527582,0.855
