features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
MC-FS,RF,"{'criterion': 'entropy', 'n_estimators': 75}","RandomForestClassifier(criterion='entropy', n_estimators=75, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8167533818938606,0.6345549246338985,0.6129032258064516,0.6214212983120585,0.6157666461576735,0.8603179460278284,0.8779609302918917,0.7151347587208863,0.8330671745332847,0.8562
MC-FS,SVM,"{'C': 10.0, 'kernel': 'rbf'}","SVC(C=10.0, probability=True, random_state=20)",0.8840552995391704,0.712220392495219,0.7101382488479263,0.7069137237354282,0.7078153323109639,0.9283787651264366,0.9275345622119816,0.8053529100506642,0.8713754318622887,0.9322,0.8273569198751302,0.6630419092617809,0.6193548387096774,0.6321237209107458,0.6216969482267305,0.862452269442378,0.8993339457391771,0.7401800067973001,0.8261138456939424,0.8684
MC-FS,LR,"{'C': 2.0, 'max_iter': 700}","LogisticRegression(C=2.0, max_iter=700, random_state=20)",0.7848847926267282,0.448401028061352,0.46221198156682025,0.44688836699581025,0.45381904611599344,0.8681949296996245,0.865552995391705,0.6584466508520902,0.7177502946421929,0.7825,0.7259105098855358,0.4794060752599622,0.42258064516129035,0.43055496641336594,0.4210046417711909,0.789289485551069,0.8381944432841179,0.5976447186064785,0.7071705503221557,0.7386
MC-FS,KNN,"{'n_neighbors': 3, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=3, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7959625390218522,0.6001234255836211,0.5645161290322581,0.5777585032309644,0.5686092712800674,0.8420710935700537,0.8719970976643278,0.6871692396096211,0.8027867395790715,0.7429
MC-FS,DT,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'random'}","DecisionTreeClassifier(criterion='entropy', max_features='auto',
                       random_state=20, splitter='random')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7687304890738814,0.5556806806206068,0.5193548387096775,0.5306984713487803,0.5222443235701426,0.823798906571305,0.8473976434395473,0.6456854477358461,0.7828619587093,0.6759
MC-FS,AdaBoost,"{'learning_rate': 0.5, 'n_estimators': 40}","AdaBoostClassifier(learning_rate=0.5, n_estimators=40, random_state=20)",0.7865437788018435,0.5214308302200602,0.4663594470046083,0.41996955046259804,0.4382015518882935,0.8740583663403283,0.866589861751152,0.6674211823059891,0.7078568240207285,0.7649,0.7006139438085328,0.5474060160307104,0.3870967741935484,0.3566623724242256,0.36215956500950114,0.7773347302445218,0.8082543729268648,0.5249647121619209,0.6975814502636888,0.6472
MC-FS,MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': 13, 'max_iter': 1300, 'solver': 'lbfgs'}","MLPClassifier(activation='tanh', alpha=0.001, hidden_layer_sizes=13,
              max_iter=1300, random_state=20, solver='lbfgs')",0.8940092165898618,0.7347174320874901,0.7350230414746544,0.7339357765332221,0.7343656981033122,0.9339839458655712,0.9337557603686636,0.8175817439277094,0.8851906566711192,0.9415,0.8066909469302809,0.6106734894327411,0.5903225806451613,0.5974770862625736,0.5923290365631992,0.8532665189435966,0.8710463639081666,0.7077033674052673,0.8186726992242256,0.8548
