features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
RF-FS,RF,"{'criterion': 'gini', 'n_estimators': 80}","RandomForestClassifier(n_estimators=80, random_state=20)",0.9998156682027649,0.9995402298850575,0.9995391705069124,0.9995391698952647,0.9995390429907287,0.9998848589522165,0.9998847926267281,0.9996547496882123,0.9998270809579091,1.0,0.7513839750260146,0.5218271192788113,0.49032258064516127,0.5003883709507204,0.49262352649904967,0.8091358107386908,0.841085424107136,0.6307574937513999,0.7625016977260078,0.7882
RF-FS,SVM,"{'C': 5.0, 'kernel': 'rbf'}","SVC(C=5.0, probability=True, random_state=20)",0.8035023041474654,0.5251259016341586,0.5087557603686635,0.5091463806169437,0.5071419665233775,0.8775066168346992,0.8771889400921659,0.6765809944314898,0.7571587151268029,0.8132,0.7837877211238294,0.5917216691769958,0.5290322580645161,0.5399439914357014,0.5276101709792198,0.8291398413108401,0.8792051992427372,0.6813956034718459,0.7708476935359444,0.8076
RF-FS,LR,"{'C': 5.0, 'max_iter': 700}","LogisticRegression(C=5.0, max_iter=700, random_state=20)",0.7517050691244239,0.39232871427046745,0.3792626728110599,0.358550344587798,0.3661492637090253,0.8475204376705168,0.844815668202765,0.5884853737772275,0.6580916837333024,0.7066,0.6580437044745059,0.34860398911090157,0.27741935483870966,0.27808981540936634,0.2693931369600745,0.7409713859999881,0.818919352662741,0.5287201191670561,0.573747442773106,0.6903
RF-FS,KNN,"{'n_neighbors': 10, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=10, weights='distance')",0.9998156682027649,0.9995402298850575,0.9995391705069124,0.9995391698952647,0.9995390429907287,0.9998848589522165,0.9998847926267281,0.9996547496882123,0.9998270809579091,1.0,0.772955254942768,0.5573999251204268,0.5193548387096775,0.5320354696434327,0.5225874748468989,0.8247206105403423,0.8583868767156951,0.6569188437592866,0.7757618332296583,0.7716
RF-FS,DT,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(max_features='auto', random_state=20)",0.9998156682027649,0.9995402298850575,0.9995391705069124,0.9995391698952647,0.9995390429907287,0.9998848589522165,0.9998847926267281,0.9996547496882123,0.9998270809579091,1.0,0.7375130072840791,0.492432718418437,0.4645161290322581,0.4749210865787039,0.46764158931980465,0.8009547352176063,0.827620932317225,0.6107530161315923,0.7476678862109216,0.6439
RF-FS,AdaBoost,"{'learning_rate': 1.0, 'n_estimators': 100}","AdaBoostClassifier(n_estimators=100, random_state=20)",0.79963133640553,0.49138826075174236,0.49907834101382487,0.4882665828861752,0.4931697288351073,0.8765078107671317,0.8747695852534563,0.6688179582612731,0.7481109937649213,0.7331,0.7308116545265348,0.4706109329014391,0.43548387096774194,0.43166476136168797,0.42778868597109676,0.7973215263925236,0.8337259212495366,0.6119732502803287,0.7117057036357287,0.6052
RF-FS,MLP,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': 9, 'max_iter': 900, 'solver': 'lbfgs'}","MLPClassifier(activation='tanh', alpha=0.01, hidden_layer_sizes=9, max_iter=900,
              random_state=20, solver='lbfgs')",0.8232258064516129,0.5562273330104756,0.5580645161290323,0.5560094607168888,0.5569437887645142,0.8898804492494227,0.8895161290322581,0.7054043306770202,0.7878161790671049,0.8472,0.7986368366285119,0.6079202515403528,0.5709677419354838,0.5815412696928857,0.5726052433347637,0.8422169541076022,0.8769850422726329,0.6944067452564235,0.8046642426556608,0.8288
