features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_MCC,train_LS,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_MCC,test_LS
AllSelectors,RF,{'n_estimators': 40},RandomForestRegressor(n_estimators=40),0.9326146327627862,0.8538603981788394,0.8504446240905417,0.8491097768490941,0.8493872593875615,0.8016400680058694,4.03835206296586,0.866066597294485,0.7238890978487023,0.6709677419354839,0.6904044829977791,0.6767341602761074,0.5944294556546453,2.7680616358964003
AllSelectors,SVM,"{'C': 15.0, 'gamma': 'auto', 'kernel': 'rbf'}","SVR(C=15.0, gamma='auto')",0.812980134873991,0.6387666043644479,0.6394502829426031,0.6317186815262139,0.6353902667851745,0.4953837530774876,3.127930526456687,0.8484807492195631,0.6888372079260892,0.6548387096774193,0.6683965302690191,0.6592918139883824,0.5532950591044405,2.643969646629221
AllSelectors,LR,{'fit_intercept': False},LinearRegression(fit_intercept=False),0.7630673474629271,0.5328306080348599,0.5472918350848828,0.5385811816469971,0.5434640885013727,0.36258889643856623,2.2696647533775813,0.8503642039542144,0.629897068949007,0.6483870967741936,0.6305493144718884,0.6395309473742835,0.5163967532748733,2.2785665950122183
AllSelectors,KNN,{'n_neighbors': 5},KNeighborsRegressor(),0.8282496900669143,0.6633276016470917,0.6548100242522231,0.6495614718040773,0.6518028225099363,0.5261082057911394,2.9612544024868477,0.8621227887617066,0.7183007571140404,0.6548387096774193,0.672872048290178,0.6582643740148897,0.5784489047574971,2.733598472746439
AllSelectors,DT,{'criterion': 'squared_error'},DecisionTreeRegressor(),1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.8481061394380854,0.6704143739377724,0.6419354838709678,0.6542381300112108,0.646380972518543,0.5382699903042745,2.416745114562016
AllSelectors,AdaBoost,"{'loss': 'square', 'n_estimators': 20}","AdaBoostRegressor(loss='square', n_estimators=20)",0.6881854226559289,0.43503839971978364,0.44300727566693615,0.4062955818491363,0.41918877804003724,0.21230720857108445,2.1503257380951712,0.8614984391259105,0.6785380534230032,0.6838709677419355,0.6800107099102463,0.682052566656166,0.568812910307839,2.710343735918575
AllSelectors,MLP,"{'activation': 'logistic', 'alpha': 0.1, 'hidden_layer_sizes': 50, 'max_iter': 1500, 'solver': 'lbfgs'}","MLPRegressor(activation='logistic', alpha=0.1, hidden_layer_sizes=50,
             max_iter=1500, solver='lbfgs')",0.8201584269449975,0.6589876780172453,0.6426839126919968,0.6425493585198616,0.6415820214873906,0.5162270289769185,3.0977752256456497,0.8526951092611862,0.6982064441378403,0.6645161290322581,0.6778749676884372,0.668916272271387,0.5672203171550859,2.6836313381249757
