features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
SVM-FS,RF,"{'criterion': 'gini', 'n_estimators': 120}","RandomForestClassifier(n_estimators=120, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7366493236212279,0.4769610922931606,0.44193548387096776,0.45516164026427,0.4460810685755828,0.8008682445344748,0.8311812906810427,0.6197124732434867,0.7161953936727294,0.7414
SVM-FS,SVM,"{'C': 20.0, 'kernel': 'rbf'}","SVC(C=20.0, probability=True, random_state=20)",0.8245161290322581,0.5808806329927247,0.5612903225806452,0.5517212700787121,0.5515080652947623,0.8945145906806643,0.8903225806451613,0.7047118425626685,0.7889181328936848,0.8426,0.7512695109261186,0.5349986624530968,0.45161290322580644,0.476388821337925,0.4560924172148236,0.8019295680554603,0.8620836698940733,0.6286365680283585,0.7226241478460523,0.7638
SVM-FS,LR,"{'C': 5.0, 'max_iter': 700}","LogisticRegression(C=5.0, max_iter=700, random_state=20)",0.7607373271889402,0.37337828958137653,0.40184331797235023,0.37178137290938607,0.38601651840722845,0.8550243470424339,0.8504608294930875,0.6308859474950421,0.6623420742104497,0.7269,0.6857127991675338,0.3510802483181009,0.3225806451612903,0.3056111645880602,0.30941882840896184,0.7631628223090029,0.8260471175679113,0.5647036612919283,0.5955565719823229,0.6899
SVM-FS,KNN,"{'n_neighbors': 8, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=8, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7217689906347554,0.46125992510579167,0.3967741935483871,0.4166461771162761,0.4015299473857017,0.7859323217035407,0.8372594103965322,0.5968867282663087,0.6813450644502402,0.6892
SVM-FS,DT,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(criterion='entropy', max_features='auto',
                       random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7256399583766912,0.45845911822567165,0.42258064516129035,0.435640308347762,0.42633457238268263,0.7921096865125372,0.8235438604476574,0.5941040741723399,0.7105295487039165,0.6122
SVM-FS,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 110}","AdaBoostClassifier(learning_rate=0.1, n_estimators=110, random_state=20)",0.7810138248847927,0.45304359147418416,0.4525345622119816,0.42865463702418605,0.43552915914210477,0.8697535984083927,0.8631336405529954,0.6487229209906241,0.7111861761890242,0.7375,0.6953069719042664,0.41067452491334777,0.33548387096774196,0.35276952340279777,0.3356987742345284,0.7647032872078859,0.8296576107942546,0.5697978171019303,0.6254478313004279,0.633
SVM-FS,MLP,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': 13, 'max_iter': 1400, 'solver': 'lbfgs'}","MLPClassifier(activation='logistic', hidden_layer_sizes=13, max_iter=1400,
              random_state=20, solver='lbfgs')",0.8331797235023042,0.5832525713547639,0.5829493087557603,0.5744208459741185,0.5774136673153552,0.8975429971406534,0.8957373271889401,0.7246511263214717,0.8003755188188979,0.8581,0.7205723204994796,0.457696269064594,0.3935483870967742,0.4112059061808866,0.39644813838646004,0.7854555231210396,0.8333998754841251,0.5903605790273525,0.6806653664905709,0.7484
