features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
RFSelector,RF,"{'criterion': 'entropy', 'n_estimators': 100}","RandomForestClassifier(criterion='entropy', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7891259105098856,0.5656175516251195,0.5741935483870968,0.5659011140529651,0.5698989471933111,0.8520181542508384,0.8357759016064648,0.6699610050732623,0.8201939652109242,0.8507
RFSelector,SVM,"{'C': 5.0, 'kernel': 'poly'}","SVC(C=5.0, kernel='poly', probability=True, random_state=20)",0.8505047481683395,0.7039977871876604,0.6911883589329022,0.6868893163217058,0.6874462290568106,0.8926756631656767,0.8895933150736104,0.7621918832084962,0.8777618759816578,0.9118,0.8100208116545266,0.5858247265993494,0.5967741935483871,0.5844359597593558,0.5903669572124693,0.8670948162154,0.8560537133161136,0.7065255016260592,0.8171623142157322,0.8538
RFSelector,LR,"{'C': 0.5, 'max_iter': 700}","LogisticRegression(C=0.5, max_iter=700, random_state=20)",0.7146707324485073,0.4519232770619773,0.47130153597413094,0.4550945302003954,0.4638125470335657,0.7928504275400813,0.7756115604833473,0.573694788286082,0.7713239326631501,0.7887,0.694360041623309,0.3977435267787375,0.4161290322580645,0.4005728345378304,0.40906447414376806,0.780794295217139,0.756625147362365,0.5364321843593154,0.7319100062731372,0.7711
RFSelector,KNN,"{'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=13, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756576482830385,0.5417031268211967,0.5193548387096775,0.5200187939449795,0.5172700127522492,0.8247631636952573,0.818904825678571,0.6128556224637398,0.8011072576408492,0.8252
RFSelector,DT,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(max_features='auto', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7689177939646201,0.5209940284126696,0.5129032258064516,0.5163732606310758,0.5141547427114734,0.8311356843781856,0.8354991871562408,0.6442163065444106,0.7751685759480458,0.6342
RFSelector,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 80}","AdaBoostClassifier(learning_rate=0.1, n_estimators=80, random_state=20)",0.7208778899585601,0.5140984865321195,0.4939369442198868,0.4736991866357686,0.4812435415772251,0.7979444451659248,0.7760471557540966,0.56884377833224,0.8056348522004237,0.7314,0.7083766909469303,0.42260128673873415,0.44193548387096776,0.42398058964663965,0.4324645458143743,0.7884806207190846,0.7706176648684628,0.5479630339747726,0.7438379418376786,0.689
RFSelector,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1100, 'solver': 'lbfgs'}","MLPClassifier(alpha=0.1, hidden_layer_sizes=14, max_iter=1100, random_state=20,
              solver='lbfgs')",0.8495107403169193,0.6824981728548117,0.6887631366208569,0.6785978286805094,0.6832678947556002,0.8963787767303828,0.8821946503188088,0.7644059768298671,0.8761298332284242,0.914,0.7988969823100937,0.5810079808150217,0.5935483870967742,0.5735327496875884,0.5838213116617671,0.8645426616000812,0.8349678403852896,0.6774667530266921,0.8309206688738151,0.8604
