features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
MCFSSelector,RF,"{'criterion': 'entropy', 'n_estimators': 95}","RandomForestClassifier(criterion='entropy', n_estimators=95, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7822268470343393,0.5505210481808432,0.5612903225806452,0.5517601508578199,0.5564276105327712,0.8469899282482989,0.8299814884182478,0.6617505084905971,0.8100463480526986,0.8486
MCFSSelector,SVM,"{'C': 10.0, 'kernel': 'poly'}","SVC(C=10.0, kernel='poly', probability=True, random_state=20)",0.857844460317782,0.7175202287178086,0.7057396928051738,0.7048125116341584,0.7039557653283761,0.8971569113645518,0.8963991089213953,0.7733007962853611,0.8850010668350138,0.9215,0.8097086368366285,0.6003164616089847,0.5967741935483871,0.5914630472363274,0.5930912250319975,0.8648791241588746,0.8585269768381779,0.7052025985630705,0.8232648501982729,0.856
MCFSSelector,LR,"{'C': 10.0, 'max_iter': 800}","LogisticRegression(C=10.0, max_iter=800, random_state=20)",0.7144759827182487,0.45076072286100055,0.47049312853678255,0.4543857633292751,0.4630347660968074,0.7926636667319993,0.7755358412127119,0.5735255947318931,0.7706116085596899,0.7886,0.6965972944849115,0.40008033719067526,0.41935483870967744,0.4034260104511677,0.4121651862865562,0.7827800911966285,0.7583498359602571,0.5402916331659234,0.7329970560318589,0.7711
MCFSSelector,KNN,"{'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=13, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756576482830385,0.5417031268211967,0.5193548387096775,0.5200187939449795,0.5172700127522492,0.8247631636952573,0.818904825678571,0.6128556224637398,0.8011072576408492,0.8252
MCFSSelector,DT,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(max_features='auto', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7689177939646201,0.5209940284126696,0.5129032258064516,0.5163732606310758,0.5141547427114734,0.8311356843781856,0.8354991871562408,0.6442163065444106,0.7751685759480458,0.6342
MCFSSelector,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 105}","AdaBoostClassifier(learning_rate=0.1, n_estimators=105, random_state=20)",0.7054599851388964,0.5014737797028267,0.47049312853678255,0.44744197324439255,0.4531014184748822,0.7886967479381142,0.7648878788924238,0.5238349596709162,0.8139703095756096,0.7216,0.6950676378772113,0.41696099639830475,0.41935483870967744,0.3996286214064855,0.4066371078713133,0.7790903987486262,0.7598037428352542,0.5047528251920563,0.7448603519434388,0.6811
MCFSSelector,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1100, 'solver': 'lbfgs'}","MLPClassifier(alpha=0.1, hidden_layer_sizes=14, max_iter=1100, random_state=20,
              solver='lbfgs')",0.8495107403169193,0.6824981728548117,0.6887631366208569,0.6785978286805094,0.6832678947556002,0.8963787767303828,0.8821946503188088,0.7644059768298671,0.8761298332284242,0.914,0.7988969823100937,0.5810079808150217,0.5935483870967742,0.5735327496875884,0.5838213116617671,0.8645426616000812,0.8349678403852896,0.6774667530266921,0.8309206688738151,0.8604
