features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
MI-FS,RF,"{'criterion': 'entropy', 'n_estimators': 200}","RandomForestClassifier(criterion='entropy', n_estimators=200, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7959417273673257,0.5781659618892955,0.5806451612903226,0.5768289806648158,0.5785016461975856,0.8537004108657793,0.84764778286358,0.6828281915814813,0.8181342481850941,0.8604
MI-FS,SVM,"{'C': 100.0, 'kernel': 'rbf'}","SVC(C=100.0, probability=True, random_state=20)",0.8791290373808383,0.7594519474545667,0.7534357316087308,0.7516418283609351,0.7517985859775292,0.9144363577649228,0.9092062605173841,0.8030212125826938,0.9087364873080972,0.9403,0.8198335067637876,0.631533182140676,0.6290322580645161,0.6241648719044846,0.6257063484739424,0.874277655855032,0.8620169179387818,0.709450662712581,0.850271195562008,0.8699
MI-FS,LR,"{'C': 100, 'max_iter': 700}","LogisticRegression(C=100, max_iter=700, random_state=20)",0.7029746387490532,0.4294835828884305,0.4559417946645109,0.43667407468578984,0.4466390053579386,0.7848077579938859,0.7591638861361167,0.5424528609567251,0.7658421432012648,0.7647,0.6783454734651405,0.44041301353602585,0.3967741935483871,0.3799150872076936,0.3884968238581684,0.7677239824531874,0.7383790246794069,0.5086615440188681,0.7260361209522869,0.7469
MI-FS,KNN,"{'n_neighbors': 9, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=9, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7803329864724246,0.5634526539365544,0.5580645161290323,0.5562981564144943,0.556312852072567,0.8418393088193744,0.8370486167589591,0.6535527985248423,0.8129272412457369,0.8261
MI-FS,DT,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(max_features='auto', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77843912591051,0.5471706681094646,0.5419354838709678,0.543442698247183,0.5422824500290339,0.8396524401455776,0.8375475467873994,0.6611872767527965,0.793379912752914,0.6517
MI-FS,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 120}","AdaBoostClassifier(learning_rate=0.1, n_estimators=120, random_state=20)",0.737584541315371,0.5156502016250518,0.5125303152789006,0.49355741837705386,0.5009458538002782,0.810582904802599,0.7912129179796181,0.5957619761842236,0.8059360021637955,0.7221,0.7210718002081167,0.4320925784985267,0.45806451612903226,0.43657539886919494,0.4470901736093379,0.799200450656973,0.7810929548535476,0.569963174576496,0.7447382917142176,0.6815
MI-FS,MLP,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 17, 'max_iter': 1000, 'solver': 'lbfgs'}","MLPClassifier(alpha=1e-05, hidden_layer_sizes=17, max_iter=1000,
              random_state=20, solver='lbfgs')",0.8607179991229726,0.7125686446215487,0.7154405820533549,0.7122486360848088,0.7137934216838858,0.9023502964651324,0.8935068272290237,0.7763312055748597,0.8919219900949469,0.9311,0.8187304890738814,0.6181291422186324,0.6161290322580645,0.6146482299161606,0.6150067944170298,0.8697146285871706,0.867207877830893,0.7159839442101474,0.8368177873531124,0.8793
