features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
MI-FS,RF,"{'criterion': 'entropy', 'n_estimators': 200}","RandomForestClassifier(criterion='entropy', n_estimators=200, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8031009365244536,0.6155683967900513,0.5774193548387097,0.5915800767693308,0.5817780998617126,0.8467950001192277,0.876257174212754,0.6958822301842553,0.8104921847705205,0.8511
MI-FS,SVM,"{'C': 100.0, 'kernel': 'rbf'}","SVC(C=100.0, probability=True, random_state=20)",0.9115207373271891,0.7833896072625836,0.7788018433179723,0.7784266996407317,0.778039018389304,0.9450162593617056,0.9447004608294931,0.8443547338628943,0.9069074326268473,0.9487,0.83264308012487,0.6708133447481543,0.6193548387096774,0.6385582280482383,0.6251250105870926,0.8673374749147205,0.9001295817419237,0.7360036020823039,0.8274917299981472,0.856
MI-FS,LR,"{'C': 1.0, 'max_iter': 700}","LogisticRegression(max_iter=700, random_state=20)",0.767926267281106,0.4150542436164378,0.419815668202765,0.40337344731046504,0.41018042408081334,0.8573408831437017,0.8549539170506912,0.6265305835431466,0.6878670776393394,0.75,0.6958896982310093,0.4132500811366982,0.3580645161290323,0.3513228584961209,0.3464295830752336,0.7656384548039928,0.8325021194053579,0.579718263621093,0.6417420668102775,0.7198
MI-FS,KNN,"{'n_neighbors': 5, 'weights': 'distance'}",KNeighborsClassifier(weights='distance'),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7749739854318418,0.5783970362472265,0.5129032258064516,0.533532309650478,0.5180342613249195,0.8221233237412653,0.8689090407663116,0.6628330060444289,0.7676597115486941,0.7711
MI-FS,DT,"{'criterion': 'entropy', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(criterion='entropy', max_features='auto',
                       random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7727367325702393,0.5630151809330434,0.5451612903225806,0.5515371837884715,0.547157174869052,0.8297909519658355,0.8403932099450674,0.6533420512410877,0.8054852900905147,0.6803
MI-FS,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 150}","AdaBoostClassifier(learning_rate=0.1, n_estimators=150, random_state=20)",0.8143778801843318,0.5381182560188158,0.5359447004608295,0.5281044168692156,0.5306761414099987,0.8856988330166103,0.8839861751152074,0.6982084822291927,0.7705523774512543,0.7811,0.7584703433922997,0.5341234236901928,0.4806451612903226,0.4939066126967081,0.4816558683542439,0.8117133789573427,0.8521377814005212,0.6412046669813438,0.7456984016771365,0.6792
MI-FS,MLP,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': 20, 'max_iter': 1400, 'solver': 'lbfgs'}","MLPClassifier(activation='tanh', alpha=0.01, hidden_layer_sizes=20,
              max_iter=1400, random_state=20, solver='lbfgs')",0.9050691244239631,0.7636308148401302,0.7626728110599078,0.7625110077031085,0.7624533672551503,0.9407563761079801,0.940668202764977,0.8357994794552116,0.898803145126998,0.949,0.8154422476586889,0.6275160997534632,0.5838709677419355,0.6009808884638509,0.5892450525081065,0.8569295261774362,0.8856485320038776,0.7167897446001321,0.8068229308268987,0.8392
