features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_NPV,train_SS,train_ROC,train_GMS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_NPV,test_SS,test_ROC,test_GMS,test_ROC_AUC
SVMSelector,RF,"{'criterion': 'entropy', 'n_estimators': 130}","RandomForestClassifier(criterion='entropy', n_estimators=130, random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7862330905306971,0.5625382860866731,0.5709677419354838,0.5635672044563071,0.5672043953327236,0.8491250413685031,0.8336949458547638,0.6659485386396778,0.8194828702178578,0.8496
SVMSelector,SVM,"{'C': 20.0, 'kernel': 'rbf'}","SVC(C=20.0, probability=True, random_state=20)",0.8656847707671504,0.7322488691485577,0.7243330638641875,0.7221580928360652,0.7224022085901248,0.9052167422932086,0.8983205346093392,0.7841059609985928,0.8955677519329315,0.9302,0.8196566077003121,0.6134183142559835,0.6129032258064516,0.6084649626177835,0.6100769860724292,0.8744216152596431,0.8640437556877082,0.7167471253107427,0.8314945168983324,0.8601
SVMSelector,LR,"{'C': 20.0, 'max_iter': 700}","LogisticRegression(C=20.0, max_iter=700, random_state=20)",0.7144799038537575,0.45054904020919834,0.47049312853678255,0.4543156971202034,0.46301706613532434,0.7927166407034966,0.7755450772820256,0.5734750386022984,0.7705231910268356,0.7887,0.6965972944849115,0.40008033719067526,0.41935483870967744,0.4034260104511677,0.4121651862865562,0.7827800911966285,0.7583498359602571,0.5402916331659234,0.7329970560318589,0.7712
SVMSelector,KNN,"{'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=13, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756576482830385,0.5417031268211967,0.5193548387096775,0.5200187939449795,0.5172700127522492,0.8247631636952573,0.818904825678571,0.6128556224637398,0.8011072576408492,0.8252
SVMSelector,DT,"{'criterion': 'gini', 'max_features': 'auto', 'splitter': 'best'}","DecisionTreeClassifier(max_features='auto', random_state=20)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7689177939646201,0.5209940284126696,0.5129032258064516,0.5163732606310758,0.5141547427114734,0.8311356843781856,0.8354991871562408,0.6442163065444106,0.7751685759480458,0.6342
SVMSelector,AdaBoost,"{'learning_rate': 0.1, 'n_estimators': 150}","AdaBoostClassifier(learning_rate=0.1, n_estimators=150, random_state=20)",0.7105711852743063,0.5071745366958379,0.47696038803556995,0.4540228992314911,0.4592503933997759,0.7942441487719227,0.7679546473035093,0.5254124870821072,0.8192606879126553,0.7183,0.7135587929240375,0.46570391145638157,0.45161290322580644,0.43089118270553906,0.43705787660375217,0.7969213182878438,0.7731934297107741,0.5241368641789959,0.7778284374340788,0.6733
SVMSelector,MLP,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1100, 'solver': 'lbfgs'}","MLPClassifier(alpha=0.1, hidden_layer_sizes=14, max_iter=1100, random_state=20,
              solver='lbfgs')",0.8495107403169193,0.6824981728548117,0.6887631366208569,0.6785978286805094,0.6832678947556002,0.8963787767303828,0.8821946503188088,0.7644059768298671,0.8761298332284242,0.914,0.7988969823100937,0.5810079808150217,0.5935483870967742,0.5735327496875884,0.5838213116617671,0.8645426616000812,0.8349678403852896,0.6774667530266921,0.8309206688738151,0.8604
